turn_number,speaker,text,stage
16,User,"So, what I mean is, if there is banking...",NA
17,Assistant,Please say yes to continue or tell me what to change.,Confirmation
18,User,Yes.,NA
19,Assistant,Are you looking for a job in Hubballi Urban Dharwad?,Intent
20,User,Yes.,NA
21,Assistant,"Thank you for confirming your job location. There are some jobs available in your area. To know more, please say ���okay.���",Location Area
22,User,Okay.,NA
23,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Akash Mahadev Chougala?",Greeting
2,User,"Yes, yes.",NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now? Hey are you still on call?,Self Introduction
4,User,Yes,NA
5,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
6,User,"Yes, I am looking.",NA
7,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
8,User,My age is four.,Profile
9,Assistant,We cannot continue because you are under 18 years old. Thank you.,Profile
10,User,"No, I am twenty-one years old.",Profile
11,Assistant,Have you ever done a job before?,Experience
12,User,I have done it.,NA
13,Assistant,How many years of work experience do you have?,Experience
14,User,I have three years.,NA
15,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
16,User,I will do it.,NA
17,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
18,User,I will do it.,NA
19,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
20,User,Job.,NA
21,Assistant,What job roles are you looking for? You can tell any job you are looking for,Job Role
22,User,I will do it in the bank.,NA
23,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
24,User,I will do it.,NA
25,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Darshan Ramesh Hanje?",Greeting
2,User,Yes.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,"No madam, I am on a mobile.",NA
5,Assistant,I understand. Would you still like to continue this call to learn about jobs near you?,Re-engagement
6,User,"Yes, tell me.",NA
7,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
8,User,It has been done.,NA
9,Assistant,Have you ever done a job before?,Experience
10,User,I have done it.,NA
11,Assistant,How many years of work experience do you have?,Experience
12,User,I will do it in one or two days.,NA
13,Assistant,Is BACHELOR OF COMMERCEyour highest level of education?,Education
14,User,Documents.,NA
15,Assistant,Okay. What is your highest level of education?,Education
16,User,I have completed B.Com.,NA
17,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
18,User,Banking sector madam.,NA
19,Assistant,"What job roles are you looking for? You can tell any job you are looking for, for example, data entry operator, salesperson, electrician, or machine operator.",Job Role
20,User,In the banking sector.,NA
21,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
22,User,I will do it.,NA
23,Assistant,Let me confirm your details. You are looking for a full-time job Banking Sector job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Akshay Kumar Kamble?",Greeting
2,User,Yes.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,"You go, I will sit and study.",NA
5,Assistant,I understand. Would you still like to continue this call to learn about jobs near you?,Re-engagement
6,User,Yes.,NA
7,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
8,User,"No, wrong.",NA
9,Assistant,We cannot continue because you are under 18 years old. Thank you.,Profile
10,User,Long number 24.,NA
11,Assistant,Have you ever done a job before?,Experience
12,User,Yes.,NA
13,Assistant,How many years of work experience do you have?,Experience
14,User,Three years.,NA
15,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
16,User,Part time.,Job Type
17,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
18,User,Banking or something.,NA
19,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
20,User,No.,NA
21,Assistant,Let me confirm your details. You are looking for a part time Banking or something job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
22,User,Yes.,NA
23,Assistant,Are you looking for a job in Chikodi Belagavi?,Intent
24,User,Yes.,NA
25,Assistant,"Thank you for confirming your job location. There are some jobs available in your area. To know more, please say ���okay.���",Location Area
26,User,"Yes, what?",NA
27,Assistant,"Thank you for confirming your job location. There are some jobs available in your area. To know more, please say ���okay.���",Location Area
28,User,Okay.,NA
29,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
30,User,"No, don't want it.",NA
31,Assistant,"Okay, no problem. Call us if you want WhatsApp messages later. Otherwise, you will not receive hiring alerts from jobs near you.",Intent
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Siddappa Basappa Jekabal?",Greeting
2,User,"Yes sir, hello.",NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Yes.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,"Seventy twenty seven. No. No, I haven't done it ever.",NA
7,Assistant,Have you ever done a job before?,Experience
8,User,I haven't done it.,NA
9,Assistant,Is BACHELOR OF ARTS your highest level of education?,Education
10,User,I have a degree.,NA
11,Assistant,Okay. What is your highest level of education?,Education
12,User,I am in the exam route.,NA
13,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
14,User,No.,NA
15,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
16,User,"Government job, job, government job.",NA
17,Assistant,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.",Job Role
18,User,Government job is needed.,NA
19,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
20,User,"No, tell me.",NA
21,Assistant,Let me confirm your details. You are looking for a government job Government job job. Is this correct? Please say yes to continue or tell me what to change.,Confirmation
22,User,It will be done tomorrow.,NA
23,Assistant,"Sorry, I didn't get that. Please say yes to continue or tell me what to change.",Confirmation
24,User,"What are you saying, madam? We are going to jobs, we are going to work.",NA
25,Assistant,"Sorry, I didn't get that. Please say yes to continue or tell me what to change.",Confirmation
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Veeresh Yallappa Bankapur?",Greeting
2,User,"Yes, speak.",NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,"Yes madam, the degree is complete.",NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,"No, it has changed, madam. Twenty-three.",NA
7,Assistant,Have you ever done a job before?,Experience
8,User,"Yes, I have done it, madam.",NA
9,Assistant,How many years of work experience do you have?,Experience
10,User,Four five years.,NA
11,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
12,User,Any part-time job?,Job Type
13,Assistant,What job roles are you looking for? You can tell any job you are looking for,Job Role
14,User,"Currently, it's a government job.",NA
15,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
16,User,"Not available right now, madam.",NA
17,Assistant,Let me confirm your details. You are looking for a part-time job government job job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
18,User,Yes madam.,NA
19,Assistant,Are you looking for a job in Kittur Belagavi?,Intent
20,User,In Kittur?,NA
21,Assistant,Are you looking for a job in Kittur Belagavi?,Intent
22,User,"Cut off madam. I didn't understand, madam.",Clarification
23,Assistant,Are you looking for a job in Kittur Belagavi? Hey are you still on call? Hey are you there?,Intent
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Anup Sudeerakumar Kajagar?",Greeting
2,User,"Yes sir, yes.",NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Yes ma'am.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,It has changed.,NA
7,Assistant,Okay. What is your current age?,Profile
8,User,"Twenty four, twenty four.",NA
9,Assistant,Have you ever done a job before?,Experience
10,User,No.,NA
11,Assistant,Is BACHELOR OF COMMERCE your highest level of education?,Education
12,User,Ah yes ma'am.,NA
13,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
14,User,Full time.,Job Type
15,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
16,User,Banking sector sector.,NA
17,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
18,User,"No no, nothing like that.",NA
19,Assistant,Let me confirm your details. You are looking for a full time Banking sector job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
20,User,Okay.,NA
21,Assistant,Are you looking for a job in Savadatti Belagavi?,Intent
22,User,Yes.,NA
23,Assistant,"Thank you for confirming your job location. There are some jobs available in your area. To know more, please say ���okay.���",Location Area
24,User,Okay.,NA
25,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
26,User,"No, it's okay, send it.",NA
27,Assistant,Is this your WhatsApp Number?,WhatsApp Number
28,User,Yes.,NA
29,Assistant,Congratulations! You can now see jobs near you and apply. We will send you details on WhatsApp soon. Thank you.,Completion
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with RAMESH MUTTEPPA MOKHASHI?",Greeting
2,User,Yes.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,I am looking.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,"Okay, here.",NA
7,Assistant,Have you ever done a job before?,Experience
8,User,"No, nothing.",NA
9,Assistant,Is Fitter (NSQF)your highest level of education?,Education
10,User,ITI.,NA
11,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
12,User,Full time job.,Job Type
13,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
14,User,Railway Department.,NA
15,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
16,User,Nothing.,NA
17,Assistant,Let me confirm your details. You are looking for a full-time job Railway Department job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
18,User,Yes.,NA
19,Assistant,Are you looking for a job in Vaishali Belagavi?,Intent
20,User,Yes.,NA
21,Assistant,"Thank you for confirming your job location. There are some jobs available in your area. To know more, please say ���okay.���",Location Area
22,User,Okay.,NA
23,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
24,User,Okay.,NA
25,Assistant,Is this your WhatsApp Number?,WhatsApp Number
26,User,Okay.,NA
27,Assistant,Is this your WhatsApp Number?,WhatsApp Number
28,User,Yes.,NA
29,Assistant,Congratulations! You can now see jobs near you and apply. We will send you details on WhatsApp soon. Thank you.,Completion
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Ajeet Dharmanna Halyale?",Greeting
2,User,Yes madam.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,"Tell me madam, there is work, already there.",NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,"It has changed, madam.",NA
7,Assistant,Okay. What is your current age?,Profile
8,User,"Twenty-three madam. Twenty-two, twenty-three, twenty-two.",NA
9,Assistant,Have you ever done a job before?,Experience
10,User,No madam.,NA
11,Assistant,Is BACHELOR OF ARTS your highest level of education?,Education
12,User,"Seven madam, bad.",NA
13,Assistant,Okay. What is your highest level of education?,Education
14,User,"B.A. madam, B.A. last.",NA
15,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
16,User,I will do a part-time job.,Job Type
17,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
18,User,"If you have applied for Agni Shyam, if you have applied for RRB, Group D.",NA
19,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
20,User,"No ma'am, I don't want anything. It is there now ma'am, it is in the bank. I will do it in the bank.",NA
21,Assistant,"Let me confirm your details. You are looking for a part-time job Agni Shyam, RRB, Group D job. Is this correct? Please say yes to continue or tell me what to change.",Job Type
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with ANKITA MANTAYYA RAMANAL?",Greeting
2,User,Yes.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Yes.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,It has changed.,NA
7,Assistant,Okay. What is your current age?,Profile
8,User,Twenty.,NA
9,Assistant,Have you ever done a job before?,Experience
10,User,No no.,NA
11,Assistant,Is BACHELOR OF COMMERCE your highest level of education?,Education
12,User,What?,NA
13,Assistant,Is BACHELOR OF COMMERCE your highest level of education?,Education
14,User,"Yes, yes.",NA
15,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
16,User,Full-time job.,Job Type
17,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
18,User,Banking.,NA
19,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
20,User,"No no, not there.",NA
21,Assistant,Let me confirm your details. You are looking for a full-time job Banking job. Is this correct? Please say yes to continue or tell me what to change. Hey are you still on call?,Job Type
22,User,Yes.,NA
23,Assistant,Are you looking for a job in Kalghatgi Dharwad?,Intent
24,User,"Yes, yes.",NA
25,Assistant,"Thank you for confirming your job location. There are some jobs available in your area. To know more, please say ���okay.��� Hey are you still on call?",Location Area
26,User,"Yes, okay.",NA
27,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Pooja Shivagonda Kivunde?",Greeting
2,User,"No, she is with her brother.",NA
3,Assistant,Is Pooja Shivagonda Kivunde around? Can you pass the phone to Pooja Shivagonda Kivunde?,Identity Check
4,User,"Yes, Pooja.",NA
5,Assistant,"Thank you, Is this Pooja Shivagonda Kivunde speaking? Hey are you still on call?",Identity Check
6,User,I will give one minute.,NA
7,Assistant,"Thank you, Is this Pooja Shivagonda Kivunde speaking?",Identity Check
8,User,Hello,NA
9,Assistant,"Thank you, Is this Pooja Shivagonda Kivunde speaking?",Identity Check
10,User,Yes,NA
11,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
12,User,Yes.,NA
13,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
14,User,It has changed.,NA
15,Assistant,Have you ever done a job before?,Experience
16,User,Nothing.,NA
17,Assistant,Is BACHELOR OF COMMERCEyour highest level of education?,Education
18,User,"Yes, graduation.",NA
19,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
20,User,Full time job.,Job Type
21,Assistant,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.",Job Role
22,User,Banking.,NA
23,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
24,User,"No, nothing.",NA
25,Assistant,Let me confirm your details. You are looking for a full-time job Banking job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
26,User,Yes.,NA
27,Assistant,Are you looking for a job in Hukeri Belagavi?,Intent
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Balappa Ramesh Naragund? Hey are you still on call?",Greeting
2,User,Hello.,NA
3,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Balappa Ramesh Naragund?",Greeting
4,User,"Yes, yes.",NA
5,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
6,User,"No, I am in the competitive field now.",NA
7,Assistant,I understand. Would you still like to continue this call to learn about jobs near you?,Re-engagement
8,User,Okay.,NA
9,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
10,User,That is wrong.,NA
11,Assistant,Okay. What is your correct age?,Profile
12,User,Twenty two.,NA
13,Assistant,Have you ever done a job before?,Experience
14,User,No.,NA
15,Assistant,Is ELECTRICAL AND ELECTRONICS ENGINEERINGyour highest level of education?,Education
16,User,Yes.,NA
17,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
18,User,Any other government job?,NA
19,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
20,User,RRB Railway,NA
21,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
22,User,skill away but government I need.,NA
23,Assistant,Let me confirm your details. You are looking for a government job RRB Railway job. Is this correct? Please say yes to continue or tell me what to change.,Confirmation
24,User,Yes yes.,NA
25,Assistant,Are you looking for a job in Belagavi Belagavi?,Intent
26,User,No.,NA
27,Assistant,What is the name of the district you are looking for a job in?,Intent
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Vasant Basappa Pujari?",Greeting
2,User,Yes.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,"I am looking for a job, I will help.",Intent
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,"It has become eighteen, right? How much will you take out?",NA
7,Assistant,Have you ever done a job before?,Experience
8,User,"Yes, I have done it.",NA
9,Assistant,How many years of work experience do you have?,Experience
10,User,Four.,NA
11,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
12,User,Full-time job.,Job Type
13,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
14,User,Bank account,NA
15,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
16,User,Bank,NA
17,Assistant,Let me confirm your details. You are looking for a full-time job Bank account job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
18,User,Yes.,NA
19,Assistant,Are you looking for a job in Raybag Belagavi?,Intent
20,User,"Yes, yes sir.",NA
21,Assistant,"Thank you for confirming your job location. There are some jobs available in your area. To know more, please say ���okay.���",Location Area
22,User,Okay.,NA
23,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
24,User,Yes ma'am.,NA
25,Assistant,Is this your WhatsApp Number?,WhatsApp Number
26,User,Yes ma'am.,NA
27,Assistant,Congratulations! You can now see jobs near you and apply. We will send you details on WhatsApp soon. Thank you.,Completion
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Saleem D Bhavakhan?",Greeting
2,User,Yes.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Yes.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,It has changed.,NA
7,Assistant,"If you could please provide your current age, I can update our records.",Profile
8,User,Twenty-four.,NA
9,Assistant,Have you ever done a job before?,Experience
10,User,I have done it.,NA
11,Assistant,How many years of work experience do you have?,Experience
12,User,One year.,NA
13,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
14,User,Full time job.,Job Type
15,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
16,User,In banking.,NA
17,Assistant,"Do you have any other job-related needs? Like training courses, accommodation, or travel help?",Additional Needs
18,User,Yes madam.,NA
19,Assistant,Could you please specify what other job-related needs you have?,Additional Needs
20,User,I really like working in banking.,NA
21,Assistant,"I understand you like working in banking. Do you have any other job-related needs, such as training courses, accommodation, or travel help?",Additional Needs
22,User,"No no, there is no need for that.",NA
23,Assistant,Are you looking for a job in Ramdurg Belagavi?,Intent
24,User,Yes.,NA
25,Assistant,"Thank you for confirming your job location. There are some jobs available in your area. To know more, please say ���okay.���",Location Area
26,User,Okay.,NA
27,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
28,User,Send it.,NA
29,Assistant,Is this your WhatsApp Number?,WhatsApp Number
30,User,Yes.,NA
31,Assistant,Congratulations! You can now see jobs near you and apply. We will send you details on WhatsApp soon. Thank you.,Completion
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Lakkappa Helavar?",Greeting
2,User,Hello.,NA
3,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Lakkappa Helavar?",Greeting
4,User,Yes madam.,NA
5,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
6,User,Yes madam.,NA
7,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
8,User,No madam.,NA
9,Assistant,Could you please tell me your correct age?,Profile
10,User,Twenty six madam.,NA
11,Assistant,Have you ever done a job before?,Experience
12,User,"No madam, no.",NA
13,Assistant,Is BACHELOR OF ARTS your highest level of education?,Education
14,User,"Yes madam, yes.",NA
15,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
16,User,Full time.,Job Type
17,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
18,User,Government job.,NA
19,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Praveen Vasant Medar?",Greeting
2,User,Yes.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,No.,NA
5,Assistant,I understand. Would you still like to continue this call to learn about jobs near you?,Re-engagement
6,User,Yes.,NA
7,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
8,User,"No, 22 age.",Profile
9,Assistant,Have you ever done a job before?,Experience
10,User,No.,NA
11,Assistant,Is BACHELOR OF COMMERCEyour highest level of education?,Education
12,User,Yes.,NA
13,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
14,User,"I am searching, madam, for a government job, I am trying.",NA
15,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
16,User,Government job,NA
17,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
18,User,Everything.,NA
19,Assistant,Let me confirm your details. You are looking for a government job Government job job. Is this correct? Please say yes to continue or tell me what to change.,Confirmation
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Vitthal Sadashiv Kamble?",Greeting
2,User,"Hmm yes madam. Madam, what is the benefit for me in this?",NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Government job.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,It has changed.,NA
7,Assistant,Could you please tell me your current age?,Profile
8,User,Twenty-three.,NA
9,Assistant,Have you ever done a job before?,Experience
10,User,Yes ma'am.,NA
11,Assistant,How many years of work experience do you have?,Experience
12,User,Hmm,NA
13,Assistant,How many years of work experience do you have?,Experience
14,User,I am a relative's child.,NA
15,Assistant,How many years of work experience do you have?,Experience
16,User,Yes.,NA
17,Assistant,How many years of work experience do you have?,Experience
18,User,"Five years, four to five years.",NA
19,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else. Hey are you still on call?",Job Type
20,User,Full time.,Job Type
21,Assistant,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.",Job Role
22,User,Government job.,NA
23,Assistant,"Do you have any other job-related needs? Like training courses, accommodation, or travel help?",Additional Needs
24,User,My study help,NA
25,Assistant,Let me confirm your details. You are looking for a full-time job Government job job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
26,User,"I will do it, madam.",NA
27,Assistant,Are you looking for a job in Athni Belagavi?,Intent
28,User,Yes ma'am.,NA
29,Assistant,"Thank you for confirming your job location. There are some jobs available in your area. To know more, please say ���okay.���",Location Area
30,User,"No, Bangalore.",NA
31,Assistant,What is the name of the district you are looking for a job in?,Intent
32,User,Okay. Balgaon Balgaon Balgaon Balgaon.,NA
33,Assistant,"Ok thanks, and what is the name of the area you are looking for a job in?",Intent
34,User,Area,Location Area
35,Assistant,Can you please tell me the name of the area you are looking for a job in?,Intent
36,User,Yes.,NA
37,Assistant,Can you please tell me the name of the area you are looking for a job in?,Intent
38,User,Which Andhra?,NA
39,Assistant,"I'm sorry, I didn't understand. Could you please tell me the name of the area you are looking for a job in Belagavi?",Intent
40,User,Government job with area.,Location Area
41,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
42,User,"Madam, you call everyone, you call everyone.",NA
43,Assistant,Is it okay if we send you messages on WhatsApp?,WhatsApp Opt-in
44,User,"No no, we will open everything, madam.",NA
45,Assistant,"Okay, no problem. Call us if you want WhatsApp messages later. Otherwise, you will not receive hiring alerts from jobs near you.",Intent
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Basavaraj Hanamant Gangaraddi?",Greeting
2,User,"Hmm yes, tell me.",NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Yes.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,Wrong.,NA
7,Assistant,Okay. What is your correct age?,Profile
8,User,Twenty four.,NA
9,Assistant,Have you ever done a job before?,Experience
10,User,No.,NA
11,Assistant,Is BACHELOR OF COMMERCE your highest level of education?,Education
12,User,B.Com.,NA
13,Assistant,Okay. What is your highest level of education?,Education
14,User,This call is now being recorded.,NA
15,Assistant,Okay. What is your highest level of education?,Education
16,User,B.Com complete.,NA
17,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
18,User,Full time job.,Job Type
19,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
20,User,In the banking sector.,NA
21,Assistant,"Do you have any other job-related needs? Like training courses, accommodation, or travel help?",Additional Needs
22,User,No.,NA
23,Assistant,Let me confirm your details. You are looking for a full-time job banking sector job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
24,User,Yes.,NA
25,Assistant,Are you looking for a job in Yaragatti Belagavi?,Intent
26,User,Yes.,NA
27,Assistant,"Thank you for confirming your job location. There are some jobs available in your area. To know more, please say ���okay.���",Location Area
28,User,Okay.,NA
29,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
30,User,Yes.,NA
31,Assistant,Is this your WhatsApp Number?,WhatsApp Number
32,User,Yes.,NA
33,Assistant,Congratulations! You can now see jobs near you and apply. We will send you details on WhatsApp soon. Thank you.,Completion
